requirement_id,parent_capability_ids,user_need,decision_status,decision_classification,decision_source,primary_page_or_shared_owner,secondary_affected_pages,current_behavior,gap_type,proposed_disposition,current_source,user_reachability,automated_proof,deployed_match,device_loaded,real_field_validation,visual_evidence_level,dna_alignment,user_acceptance,user_acceptance_source,dependencies,dependency_classification,candidate_slice,acceptance_criteria,evidence_ids,known_open_issues,test_scope_limitations,open_question
RQ-REL-001,REL-01,The owner can identify the exact client candidate before reviewing it.,CONFIRMED_REQUIREMENT,AUDIT_RECOMMENDATION,Full task §15 and §16,Shared release identity,Settings|Home|Hike|Run,"Home contains O56 and Settings exposes app/build versions, but ordinary UI does not expose the Expo update ID; publication does not prove device loading.",INSUFFICIENT_EVIDENCE,CURRENT_SLICE,YES,YES,PARTIAL,YES,UNKNOWN,UNKNOWN,SOURCE_ONLY,MATCH,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,CARD-01 — first iPhone Hike/Run evidence review,"Record O56, app 0.2.6, build 56, and where possible the installed Expo update ID before testing.",DEP-001|SRC-002,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-AUTH-001,AUTH-01,"Home, Friends, and Auth remain bounded accepted visual references and ordinary entry foundations.",ACCEPTED_CURRENT_CONTRACT,ACCEPTED_AUTHORITY,Full task §4 and docs/VISUAL_SYSTEM.md,Auth/Home/Friends,,Normal auth gate and Home entries exist; these pages were used as reference only.,KEEP_ACCEPTED_REFERENCE,KEEP_NO_CHANGE,YES,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,MATCH,PARTIAL,Accepted reference scope only; not a new whole-page pass.,,REUSE_EXISTING,Shared regression guard only,Future shared changes do not regress accepted Home/Friends/Auth rendering or entry paths.,SRC-003|SRC-006,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ACT-001,ACT-01,"A hiker can start, pause, resume, finish, and durably save a truthful Activity.",CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,Full task §4 and §15,Hike,Activity Detail|Trails|Memory,"Shared Activity stack, WAL/recovery, offline save, and visible recording chrome are present; current native/device/NZ field outcome is unverified.",DEVICE_ACCEPTANCE_GAP,CURRENT_SLICE,YES,YES,YES,PARTIAL,UNKNOWN,PARTIAL,EXISTING_COMPONENT_WITH_FIXTURE,PARTIAL,PARTIAL,Latest owner feedback says Hike/Run have not all been accepted.,,REUSE_EXISTING,CARD-01 — first iPhone Hike/Run evidence review,"On the identified iPhone build, start/pause/resume/finish remain operable in Day/Sunset/Night and Activity Detail opens after finish.",TEST-001|VIS-001|VIS-002|HIST-001,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ACT-002,ACT-02,"A runner can start, pause, resume, finish, and durably save a truthful Activity with Run-appropriate priorities.",CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,Full task §4 and §15,Run,Activity Detail|Trails|Memory,Run shares the Activity stack and prioritizes live pace/distance/time; current native startup pace and field truth remain unverified.,DEVICE_ACCEPTANCE_GAP,CURRENT_SLICE,YES,YES,YES,PARTIAL,UNKNOWN,PARTIAL,EXISTING_COMPONENT_WITH_FIXTURE,PARTIAL,PARTIAL,Latest owner feedback says Hike/Run have not all been accepted.,,REUSE_EXISTING,CARD-01 — first iPhone Hike/Run evidence review,"On the identified iPhone build, startup pace is not misleading, controls remain operable, and finish reaches the same Activity Detail contract.",TEST-001|VIS-003|VIS-004|HIST-001,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ACT-003,ACT-01|ACT-02,Hike and Run share consistent lifecycle semantics while retaining different information priorities.,CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,Full task §4,Shared ActivityRecordingChrome/lifecycle,Hike|Run,Both screens use ActivityRecordingChrome and shared tracking state; fixture captures show the common ready/recording dock.,ACCEPTANCE_NOT_CONFIRMED,CURRENT_SLICE,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,MATCH,PARTIAL,Shared behavior exists but current physical interaction is not accepted.,,REUSE_EXISTING,CARD-01 — first iPhone Hike/Run evidence review,Pause/Resume/Finish semantics match across both modes; Hike and Run metric priorities remain distinct.,TEST-001|VIS-001|VIS-003,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ACT-004,ACT-01|ACT-02,Opening Finish and then cancelling preserves the exact prior lifecycle; paused remains paused.,CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,Full task §4 historical field symptoms,Shared Activity finish intent,Hike|Run,"Regular finish confirmation snapshots state and cancel preserves it in source/tests. The too-short Continue path explicitly resumes a paused Activity, which is a separate inconsistency.",IMPLEMENTATION_DEFECT,CURRENT_SLICE,YES,PARTIAL,YES,UNKNOWN,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,CARD-01 review; future repair only if reproduced/confirmed,Tracking→Finish→Cancel remains tracking.|Paused→Finish→Cancel remains paused.|Too-short Continue behavior is explicitly reviewed rather than assumed correct.,TEST-001|SRC-010|SRC-011,TooShortSheet Continue calls resume when the Activity was paused.,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ACT-005,ACT-01|ACT-02,"Repeated Resume cannot duplicate work, and GPS recovery never locks Back or Finish.",CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,Full task §4 historical field symptoms,Shared Activity lifecycle,Hike|Run,Single-flight/epoch guards and focused tests exist; physical recovery and background behavior are not current-device proven.,DEVICE_AND_FIELD_EVIDENCE_GAP,CURRENT_SLICE,YES,PARTIAL,YES,UNKNOWN,UNKNOWN,PARTIAL,EXISTING_COMPONENT_WITH_FIXTURE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,CARD-01 — first iPhone Hike/Run evidence review,Rapid repeated Resume produces one recovery transition.|Back and Finish remain available during degraded/recovering states.|Timer and subsequent movement recover together.,TEST-001|HIST-001,Historical bad run/wrong2 symptoms require current device verification.,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ACT-006,ACT-01|ACT-02|MEM-01|DIAG-01,"Raw, Canonical, Live, Final, display, planned, friend, and simulated geometry never masquerade as one another.",CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,Full task §4 and §13,Shared Activity truth contract,Memory|Route Editor|Activity Detail|Diagnostics,"Source distinguishes several layers and simulator provider state, but Memory evidence provenance is not persisted per point and Route provenance is lost on server round-trip.",SHARED_DATA_CONTRACT_GAP,LATER_SLICE,PARTIAL,PARTIAL,YES,PARTIAL,UNKNOWN,UNKNOWN,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,Persisted provenance design|Existing activity contract tests,PRODUCT_DECISION_REQUIRED,Activity truth/data-contract slice after page acceptance,Every displayed geometry has an explicit source role.|Simulation cannot be counted as real exploration.|Persisted records preserve required provenance.,TEST-001|SRC-025|SRC-026,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ACT-007,ACT-01|ACT-02|ROUTE-02,Final/Snap can remove noise but never invent traversal across a true GPS Gap.,CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,Full task §4,Final geometry pipeline,Activity Detail|Route Editor,Gap-aware source/tests exist; there is no proven durable reconnect worker that survives relaunch and long offline periods.,STATE_WITHOUT_DURABLE_WORKER,LATER_SLICE,YES,PARTIAL,YES,PARTIAL,UNKNOWN,PARTIAL,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,Durable work/executor decision,NARROW_PREREQUISITE,Activity Detail truth/recovery slice,A true Gap remains visible until an explicit Route-only reconnect.|Any later enhancement executor is durable and truthfully described.,TEST-001|DEP-002,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ACT-008,ACT-01|ACT-02|MAP-01,"Historical wrong2, something run, bad run, Sunset/Night, and attribution-collision symptoms retain a current evidence boundary.",CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,Full task §4 historical field symptoms,Hike/Run review,,"Source/test mitigations exist and a historical native Run screenshot shows a functioning map and controls, but the symptoms were not reproduced or cleared on the current identified candidate.",INSUFFICIENT_CURRENT_DEVICE_EVIDENCE,CURRENT_SLICE,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,PARTIAL,HISTORICAL_SCREENSHOT,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,CARD-01 — first iPhone Hike/Run evidence review,Return current Day/Sunset/Night screenshots and exact version identity.|Record whether each symptom reproduces without declaring old reports false.,HIST-001|VIS-001,Six Desktop/54 images appear to be historical urban Run captures; five are near-duplicates and none proves current O56/NZ behavior.,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ACTD-001,ACT-03,"A finished or historical Activity opens one truthful Activity Detail with route state, sync state, and Cairns.",CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,"Full task §3, §8, and §9",Activity Detail (MapHistory object branch),Hike|Run|Trails,Normal finish and Trails rows navigate by Activity/client ID to MapHistory. Source and Expo Web fallback visuals exist; native/device/user acceptance does not.,PAGE_ACCEPTANCE_AND_NATIVE_EVIDENCE_GAP,LATER_SLICE,YES,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,Page sequence 2 — Activity Detail,Newly finished and historical rows resolve to the same detail contract.|Native route/Cairn/map legal controls do not collide.|Truth and sync states match actual durability.,VIS-019|VIS-026|VIS-033|SRC-013,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ACTD-002,ACT-03,Back from Activity Detail returns predictably to the originating journey without object-family confusion.,CONFIRMED_REQUIREMENT,AUDIT_RECOMMENDATION,Full task §9 required journeys,Activity Detail navigation,Trails|Hike|Run,Both finish and Trails target MapHistory; direct fixture routing proves component presence only.,NAVIGATION_ACCEPTANCE_GAP,LATER_SLICE,YES,YES,PARTIAL,UNKNOWN,UNKNOWN,UNKNOWN,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,Page sequence 2 — Activity Detail,Finish landing and Trails row landing are equivalent.|Back returns to expected prior page in both journeys.,SRC-013|SRC-012,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ACTD-003,ACT-03|ROUTE-02,"Activity Detail distinguishes local save, server sync, final refinement, and Route readiness without unsupported promises.",CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,Full task §4 and §13,Activity Detail state surface,,A state surface exists and tests cover labels; no durable reconnect Final worker is proven.,STATE_WITHOUT_DURABLE_WORKER,LATER_SLICE,PARTIAL,YES,YES,PARTIAL,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,Final worker truth decision,PRODUCT_DECISION_REQUIRED,Page sequence 2 — Activity Detail,Every state label maps to a real executor or user action.|Retry is real where displayed.|No promise of automatic enhancement without durable work.,TEST-001|VIS-019,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
