capability_id,surface,capability,current_owner,source_path,api_or_schema,feature_flag,offline_behavior,release_evidence,missing_dependency,current_source,user_reachability,automated_proof,deployed_match,device_loaded,real_field_validation,notes
REL-01,Home,"Release identity marker","client release UI","app/src/components/OtaBadge.tsx:347","EAS update manifest; runtimeVersion 0.2.6","none","cached OTA semantics only","O56 published; update ID known","ordinary update ID/backend schema display and release receipt",YES,YES,PARTIAL,YES,UNKNOWN,UNKNOWN,"EAS publication is not device loading"
AUTH-01,Auth/Onboarding,"Independent account sign-up/sign-in/onboarding","client auth store + backend auth","app/src/screens/AuthScreen.tsx; backend/src/routes/auth.js","/api/auth/*; users","none","token/account cache supports limited offline boot","backend healthy; source versions diverge","current-release device and field proof",PARTIAL,YES,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,"historical device evidence is not O56 proof"
ACT-01,Hike,"Record and save hiking Activity","Activity store/services + sessions backend","app/src/store/useTrackingStore.ts","/api/sessions; sessions","production simulator disabled","durable WAL/recovery/eventual sync","focused tests; O56 deployed client; backend current identity known","exact O56 device and current NZ field evidence",YES,YES,YES,PARTIAL,UNKNOWN,PARTIAL,"older real field corpus only"
ACT-02,Run,"Record and save running Activity","Activity store/services + sessions backend","app/src/screens/RunningScreen.tsx; app/src/store/useTrackingStore.ts","/api/sessions; sessions","production simulator disabled","durable WAL/recovery/eventual sync","same release boundary as Hike","exact O56 device and current NZ field evidence",YES,YES,YES,PARTIAL,UNKNOWN,PARTIAL,"older real field corpus only"
ACT-03,"Activity Detail","View finalized Activity and own nearby Cairns","session store + MapHistory","app/src/screens/MapHistoryScreen.tsx:919","/api/sessions/:id; markers","none","cached local summaries/geometry boundaries vary","current source and O56 strings inspected","physical-device journey proof",YES,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,"legacy dormant branches do not create an All Cairns surface"
MEM-01,Memory,"Personal Activity-to-Memory evidence","Memory evidence boundary/store","app/src/features/memory/services/recordMemoryEvidence.ts; app/src/store/useTrackingStore.ts:4191","/api/memory/points; memory_points","none","local persistence plus sync","focused tests and current source; deployment partial","persisted source provenance and current device/field proof",YES,YES,YES,PARTIAL,UNKNOWN,PARTIAL,"source enum is not persisted per point"
MEM-02,Memory,"Passive foreground auto-unlock","PassiveMemoryRecorder","app/src/features/memory/components/PassiveMemoryRecorder.tsx:20","/api/memory/points; memory_points","user setting; simulator profile","local point persistence plus sync","source/O56 capability present","persisted real-vs-sim provenance and field proof",YES,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,"preview/dev simulator can create indistinguishable passive points"
MEM-03,Settings,"Explicit personal Memory reset","Settings + memory API","app/src/screens/SettingsScreen.tsx; backend/src/routes/memory.js","memory_points; unlocked_regions","none","requires server for remote purge; local clear follows","focused local contract tests","deployed end-to-end/device proof",YES,YES,YES,PARTIAL,UNKNOWN,UNKNOWN,"separate from Activity/Cairn delete"
MEM-04,Memory,"Friend fog selection and union display","viewer subscription store + friend-memory cache","app/src/features/memory/store/useMemorySubscriptionsStore.ts; useFriendMemoryStore.ts","/api/memory-subscriptions; /api/circle/fog; memory_subscriptions","free limit from server","friend cache is RAM-only","API/source present in O56 and production","safe authorization/revocation and cache TTL",YES,YES,PARTIAL,YES,UNKNOWN,UNKNOWN,"display works but authorization is unsafe"
MEM-05,Memory,"Server friendship and cap authorization","database trigger intended as authority","backend/src/routes/memory-subscriptions.js; migrations/018_friend_system_v4.sql","trg_memory_subscription_cap","none","not applicable to offline reads","production trigger verified absent","new corrective migration plus request/query checks",YES,PARTIAL,PARTIAL,NO,UNKNOWN,NO,"P0: direct API can subscribe arbitrary existing users and exceed cap"
MEM-06,Friends,"Owner-controlled Memory grant","no current owner","none","none","none","none","absent in source/schema/deployment","grant model/schema/API/UX",NO,NO,NO,NO,NO,NO,"viewer selection is not owner authorization"
MEM-07,Friends,"Revoke on unsubscribe/unfriend/block/delete","friend/subscription backend","backend/src/routes/friends.js:500-644; backend/src/routes/circle.js:55","friends; blocked_users; memory_subscriptions","none","open RAM cache has no remote invalidation","source and production behavior inspected","transactional revoke plus query-time authorization/cache purge",NO,PARTIAL,NO,NO,UNKNOWN,NO,"explicit unsubscribe works; unfriend/block do not"
FRI-01,Friends,"Friend request/list/profile/block","friend store + backend friends","app/src/screens/FriendsScreen.tsx; backend/src/routes/friends.js","/api/friends/*; friends; blocked_users","none","network-backed; local UI state only","source/deployed backend present","device journey and privacy regression proof",YES,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,"profile returns aggregate counts"
CAIRN-01,"Plant/Quick Cairn","Offline-first Cairn create","marker store/entity outbox","app/src/store/useMarkerStore.ts:225; app/src/services/markerOfflineEntities.ts","/api/markers; markers.client_cairn_id","none","durable owner-scoped entity/outbox","focused tests; source/O56 capability present","physical-device offline/reconnect proof",YES,YES,YES,PARTIAL,UNKNOWN,UNKNOWN,"ack identity and tombstones exist"
CAIRN-02,"Cairn Detail","Open/edit/delete own Cairn","MarkerDetailScreen + marker store","app/src/screens/MarkerDetailScreen.tsx:105","/api/markers/:id","none","pending local object mutable; synced edit online-only","source/deployed endpoint present","unified shared/public detail and field proof",YES,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,"screen resolves own marker store"
CAIRN-03,"All Cairns","Personal Cairn index/search","no current surface","app/src/screens/RoutesScreen.tsx:408","markers list API exists","none","own store may cache objects","O56 explicitly has Routes list not Cairns list","reachable journal/list/search/detail",NO,NO,NO,NO,NO,NO,"current major personal retrieval gap"
